Gene,Log2FoldChange,PValue,FDR
UMODL1,0.749910625,0.0005350934659128,0.0404785053238239
ZNF529,0.2764806944444462,0.00053510961766,0.0404785053238239
NDST4,-0.6848331944444445,0.0005049684399613,0.0404785053238239
ZNF558,0.2972698611111131,0.0005218899894292,0.0404785053238239
EYA2,0.7362640972222199,0.0005338913323984,0.0404785053238239
RFX2,0.4962854861111108,0.0005299081888718,0.0404785053238239
EFHC1,0.4074404166666667,0.0005014400310015,0.0404785053238239
FAM181A,0.7074397916666673,0.0005373799536886,0.0404785053238239
DDB2,0.4276959027777778,0.0005438933627836,0.0407189479030021
DOCK10,-0.4840590277777785,0.0005447143081632,0.0407189479030021
MAB21L2,1.596442708333334,0.0005535095689423,0.0408896834609972
HS3ST5,-0.8949739583333343,0.0005563001421209,0.0408896834609972
C9orf122,-0.9404658333333332,0.0005594773576301,0.0408896834609972
ZNF432,0.3956774999999997,0.0005519264626297,0.0408896834609972
FMOD,1.0842911111111118,0.0005493675565083,0.0408896834609972
ZNF860,0.6973059722222223,0.0005591707931976,0.0408896834609972
IRX2,-1.4390225000000003,0.0005619649063102,0.0409193705854042
MRI1,0.4558019444444436,0.0005675155629963,0.0410196910606942
ABHD6,-0.4033548611111097,0.0005660713858523,0.0410196910606942
BBS2,0.3035245833333295,0.0005747299526883,0.0413889775452515
TTC12,0.8949542361111114,0.0005778635585632,0.041462764822455
LPPR4,0.6312594444444457,0.0005871223957146,0.0419739138172697
CPEB2,0.3545320833333356,0.0005909586043786,0.0420950947901616
SEMA6B,-0.6670097222222235,0.0005991712721268,0.0425260188087131
GRPEL1,-0.172160625,0.0006102745500091,0.043158264939493
ID4,0.5567690277777775,0.0006205144053792,0.0434151300211962
SLC27A5,0.4717445833333347,0.0006205316142398,0.0434151300211962
C6orf118,0.845146319444444,0.0006161599034706,0.0434151300211962
HEPACAM,0.6266477083333317,0.0006338071871417,0.0440929539938166
EPS8L2,0.7667327777777775,0.0006369480637967,0.0440929539938166
HPR,1.23476048611111,0.0006353281165436,0.0440929539938166
EPHA5,0.8356801388888888,0.0006409400032925,0.0442136156657216
TMEM220,0.5624729166666675,0.0006494525672991,0.0445338027114249
KIAA1737,0.28134076388889,0.0006501119724404,0.0445338027114249
TSNAXIP1,0.6327822222222208,0.0006585290783227,0.0449537558327252
U2AF1L4,0.4054997222222223,0.0006620470734881,0.0450375275597836
OTOS,1.4515147222222216,0.0006662425248028,0.0451666484055984
SUSD5,-1.069816736111112,0.0006745510433302,0.0455727612091869
C19orf66,0.3769077083333343,0.0006794475057596,0.045700935991314
TMPRSS11F,-0.2591260416666666,0.0006810973675206,0.045700935991314
APOM,0.4801198611111106,0.0006932503261028,0.0462808483456502
ASTL,-0.3010772222222223,0.0006944481313309,0.0462808483456502
XAF1,0.8157677083333326,0.0007001399762804,0.0465025403164651
ZNF419,0.3572372916666673,0.0007050509222824,0.0466710475827404
LOC646851,0.593464513888887,0.0007149847784551,0.0469872694507583
TNS3,-0.4661442361111128,0.0007124721103115,0.0469872694507583
SBF1P1,-0.404034375,0.0007169980078955,0.0469872694507583
LOC100101938,-0.1600859722222222,0.0007207615075153,0.0470769808563185
PTGER3,-0.8801774999999998,0.0007354932563347,0.0474176913134914
SOHLH2,0.9614345138888885,0.0007325185974032,0.0474176913134914
SPRY2,0.4571734027777765,0.0007356254247515,0.0474176913134914
CMYA5,0.7730572916666674,0.0007287543087125,0.0474176913134914
REPS2,-0.8234041666666689,0.000738770017585,0.0474647664892877
NMNAT3,0.597961458333331,0.0007420133806897,0.0475178601444975
GANC,0.2428399999999992,0.0007500256913073,0.0478750165295515
VAV3,0.7132555555555564,0.0007601224172682,0.0482064733015899
B3GALTL,0.4833177083333329,0.0007587278745963,0.0482064733015899
WAC,-0.1794699305555553,0.000768619893793,0.0485665220669218
ZNF563,0.2526600694444454,0.0007732106514214,0.0485665220669218
SOAT2,-0.3679612499999999,0.0007716773289976,0.0485665220669218
CSRP2,0.547083055555559,0.0007815563830941,0.0485686035532311
GAB4,-0.1327554861111111,0.0007831254998155,0.0485686035532311
HSPB6,0.5941490277777763,0.0007831222174629,0.0485686035532311
MED29,0.2520293750000011,0.0007781087674287,0.0485686035532311
PDE7B,0.524335416666668,0.0008051217400255,0.0490638412881647
C5orf35,0.4500984722222236,0.000797735439311,0.0490638412881647
PDZD7,-0.700860416666667,0.0008060844728421,0.0490638412881647
PPP1R1C,0.9366607638888896,0.0008027704898612,0.0490638412881647
FBXW9,0.2951186805555554,0.0007998657423922,0.0490638412881647
ZFP112,0.3007268055555521,0.0007951434795156,0.0490638412881647
